Country,consumption,production
Italy,237,50.9
France,370,43.5
Spain,112,39.3
United States,84,23.9
Australia,212,13
China,8,11.4
South Africa,81,10.5
Chile,172,10.1
Argentina,221,9.4
Germany,175,9
Portugal,339,6
Russia,73,5.6
Romania,167,3.3
New Zealand,175,3.1
Greece,218,2.6
Serbia,127,2.3
Austria,191,2.3
Hungary,185,1.9
Moldova,18,1.7
Brazil,16,1.6
Bulgaria,94,1.2
Georgia,149,1.1
Switzerland,280,1
